序号,作者昵称,讨论标题,回应数,帖子网址
1,Naund,希望大家不要老是反省自己,194,https://www.douban.com/group/topic/180716152/
2,窗台学习的小y,农村985，我感觉目前的自己很狼狈,198,https://www.douban.com/group/topic/180902168/
3,毛茸茸的大桃子,虽然是five，但是学习人文学科真的很开心,151,https://www.douban.com/group/topic/181744253/
4,上班睁不开眼,只要坚持努力小镇做题家也能过好日子,147,https://www.douban.com/group/topic/181228191/
5,哈哈哈,985本科毕业生，选择做tony老师的心路历程,294,https://www.douban.com/group/topic/180473636/
6,宇野实彩子,有包邮区伙伴去北京读书（非top2）很后悔的吗（正文内容极度主观）,520,https://www.douban.com/group/topic/180830817/
7,linwatson,一线城市的消费水平,131,https://www.douban.com/group/topic/181205228/
8,好想吃蛋糕啊,男朋友说我太five想分手,349,https://www.douban.com/group/topic/181133270/
9,一只海螺🐚️,有没有觉得父母眼界浅影响了很多啊,191,https://www.douban.com/group/topic/181063018/
10,踏雪无痕,如果能有个好点的家，什么小镇做题家，不要也罢,161,https://www.douban.com/group/topic/180821377/
11,口腔洁净清新,大家有什么奇奇怪怪的理想职业吗,434,https://www.douban.com/group/topic/181085587/
12,jack will,被相亲太难了,289,https://www.douban.com/group/topic/181023903/
13,俄狄浦斯,中国青年报认为我们沉溺于学霸光环，怨天尤人……,438,https://www.douban.com/group/topic/180487605/
14,大宝平安,虽然你们觉得自己废但是还是挺让人羡慕的（提供点鸡汤）,190,https://www.douban.com/group/topic/180361946/
15,kaka,本组应该没有几个比我穷的家庭了，可以安慰我吗,152,https://www.douban.com/group/topic/181376755/
16,笑福亭,得知中专肄业的堂姐月薪税后17k之后，心态爆炸了,181,https://www.douban.com/group/topic/181630546/
17,荦确2016,门门挂科的five，最后时刻醒悟转码,120,https://www.douban.com/group/topic/181658431/
18,乔大人,超长，看到大家说想做学习博主，讲讲行业真相经验,105,https://www.douban.com/group/topic/179968084/
19,快乐five,李涛，大家的父母会允许自己出国移民吗？,153,https://www.douban.com/group/topic/181647890/
20,已注销,重点高中尖子班、摸底成绩区前几名，被两次顶替卖到野鸡中专，高中50人出了7+个博士教授，自卑不敢参加同学会,107,https://www.douban.com/group/topic/181409658/
21,奥特曼,来说说自己真正的理想,522,https://www.douban.com/group/topic/180568915/
